timestamp,open,high,low,close,vol,start
2019-03-15 10:06:56.016,13730,13735,13705,13730,86844,2019-03-15 10:04:15.320
2019-03-15 10:09:58.405,13730,13740,13700,13705,75307,2019-03-15 10:06:56.016
2019-03-15 10:12:16.440,13705,13710,13675,13685,75485,2019-03-15 10:09:58.405
2019-03-15 10:13:46.172,13685,13725,13685,13715,73753,2019-03-15 10:12:16.440
2019-03-15 10:18:34.024,13715,13720,13675,13680,74094,2019-03-15 10:13:46.172
2019-03-15 10:19:50.943,13680,13680,13645,13645,74497,2019-03-15 10:18:34.024
2019-03-15 10:21:50.365,13645,13650,13625,13630,79637,2019-03-15 10:19:50.943
2019-03-15 10:23:43.643,13630,13630,13610,13615,73774,2019-03-15 10:21:50.365
2019-03-15 10:25:33.053,13615,13645,13610,13640,73476,2019-03-15 10:23:43.643
2019-03-15 10:27:00.933,13640,13670,13630,13655,85132,2019-03-15 10:25:33.053
2019-03-15 10:29:13.095,13655,13685,13645,13675,73584,2019-03-15 10:27:00.933
2019-03-15 10:33:25.948,13675,13680,13660,13675,74613,2019-03-15 10:29:13.095
2019-03-15 10:36:54.447,13675,13685,13655,13655,75782,2019-03-15 10:33:25.948
2019-03-15 10:39:16.113,13655,13665,13640,13640,79724,2019-03-15 10:36:54.447
2019-03-15 10:40:26.178,13640,13655,13625,13635,74450,2019-03-15 10:39:16.113
2019-03-15 10:44:11.606,13635,13650,13620,13645,74300,2019-03-15 10:40:26.178
2019-03-15 10:47:30.795,13645,13665,13640,13660,73522,2019-03-15 10:44:11.606
2019-03-15 10:50:01.724,13660,13700,13660,13695,75688,2019-03-15 10:47:30.795
2019-03-15 10:51:39.701,13695,13720,13685,13720,74061,2019-03-15 10:50:01.724
2019-03-15 10:53:16.630,13720,13735,13700,13700,73594,2019-03-15 10:51:39.701
2019-03-15 10:56:26.893,13700,13740,13695,13740,76204,2019-03-15 10:53:16.630
2019-03-15 10:57:07.375,13740,13765,13730,13750,73659,2019-03-15 10:56:26.893
2019-03-15 10:58:58.245,13750,13755,13740,13740,74223,2019-03-15 10:57:07.375
